class1	class2	scaledPatristicDistance
45	18	0.5750552
45	19	0.5750552
45	20	0.5750552
45	21	0.5750552
45	22	0.5750552
45	23	0.5750552
45	24	0.5750552
45	25	0.5750552
45	26	0.4773461
45	27	0.4562333
45	28	0.4562517
45	29	0.4571999
45	30	0.4571841
45	31	0.5003463
45	32	0.5129626
45	33	0.5244906
45	34	0.4423619
45	35	0.4397862
45	36	0.4397862
45	37	0.4510113
45	38	0.4525212
45	39	0.4735281
45	40	0.4326483
45	41	0.4326326
45	42	0.4343341
45	43	0.4349942
45	44	0.475291
46	0	0.4832663
46	1	0.4684294
46	2	0.4684137
46	3	0.4764389
46	4	0.4557835
46	5	0.4466564
46	6	0.4466407
46	7	0.4505306
46	8	0.4634652
46	9	0.5033683
46	10	0.5060645
46	11	0.5083681
46	12	0.5098099
46	13	0.4745613
46	14	0.4745613
46	15	0.4790379
46	16	0.4405438
46	17	0.4405438
46	18	0.4677172
46	19	0.5154141
46	20	0.5154141
46	21	0.5313631
46	22	0.4688163
46	23	0.4688321
46	24	0.496439
46	25	0.4567911
46	26	0.428759
46	27	0.5177052
46	28	0.5177209
46	29	0.4254616
46	30	0.4254616
46	31	0.5380328
46	32	0.5128265
46	33	0.5064005
46	34	0.5064005
46	35	0.4636053
46	36	0.4636053
46	37	0.5031798
46	38	0.5031798
46	39	0.5417725
46	40	0.4892818
46	41	0.4463293
46	42	0.4463293
46	43	0.5338438
46	44	0.5338596
46	45	0.5499478
47	0	0.4938284
47	1	0.4938284
47	2	0.4729478
47	3	0.4729478
47	4	0.4752729
47	5	0.4574176
47	6	0.4574333
47	7	0.4574741
47	8	0.4767681
47	9	0.485816
47	10	0.4914607
47	11	0.4982335
47	12	0.5002817
47	13	0.4943047
47	14	0.4943204
47	15	0.5007074
47	16	0.5112497
47	17	0.5007907
47	18	0.5007907
47	19	0.4940731
47	20	0.4751143
47	21	0.4751143
47	22	0.4895863
47	23	0.518622
47	24	0.5186062
47	25	0.5191716
47	26	0.5272907
47	27	0.5409334
47	28	0.5020175
47	29	0.5020175
47	30	0.5750552
47	31	0.5429157
47	32	0.5429157
47	33	0.5429157
47	34	0.5429157
47	35	0.5242621
47	36	0.5233746
47	37	0.5233599
47	38	0.6183799
47	39	0.6260077
47	40	0.6260077
47	41	0.6260077
47	42	0.6260077
47	43	0.5549907
47	44	0.5550042
47	45	0.5359459
47	46	0.531983
48	0	0.543485
48	1	0.4976976
48	2	0.4976976
48	3	0.5058361
48	4	0.5493234
48	5	0.5493234
48	6	0.5673047
48	7	0.5760092
48	8	0.5542314
48	9	0.5542314
48	10	0.5896842
48	11	0.4854626
48	12	0.4749031
48	13	0.4749031
48	14	0.4943589
48	15	0.5490917
48	16	0.530115
48	17	0.4666231
48	18	0.4440238
48	19	0.4440238
48	20	0.4462911
48	21	0.4438139
48	22	0.4438139
48	23	0.4542271
48	24	0.4596877
48	25	0.5061803
48	26	0.4878661
48	27	0.4680527
48	28	0.4680527
48	29	0.4690222
48	30	0.5316933
48	31	0.5370861
48	32	0.5322611
48	33	0.5322611
48	34	0.521014
48	35	0.5041424
48	36	0.4667402
48	37	0.4667402
48	38	0.5177879
48	39	0.5201922
48	40	0.4464624
48	41	0.4464624
48	42	0.517459
48	43	0.517459
48	44	0.4673536
48	45	0.4673536
48	46	0.5087935
48	47	0.5088117
49	0	0.5036025
49	1	0.5035867
49	2	0.5113705
49	3	0.4820772
49	4	0.4820929
49	5	0.5510579
49	6	0.5510579
49	7	0.4481222
49	8	0.4481222
49	9	0.5326701
49	10	0.5326701
49	11	0.5326701
49	12	0.5027534
49	13	0.5005646
49	14	0.5005646
49	15	0.4665052
49	16	0.4549161
49	17	0.4549161
49	18	0.4842879
49	19	0.4842879
49	20	0.4859725
49	21	0.4885595
49	22	0.4912979
49	23	0.4912979
49	24	0.4813934
49	25	0.4589432
49	26	0.4589589
49	27	0.4490477
49	28	0.4490319
49	29	0.4494307
49	30	0.449415
49	31	0.4568993
49	32	0.4580609
49	33	0.5119873
49	34	0.5454414
49	35	0.4608228
49	36	0.4608228
49	37	0.5067989
49	38	0.5486202
49	39	0.4739465
49	40	0.4739465
49	41	0.4961066
49	42	0.4961066
49	43	0.4592227
49	44	0.459207
49	45	0.4610429
49	46	0.5181586
49	47	0.5517907
49	48	0.5517749
50	0	0.5321753
50	1	0.5321753
50	2	0.5178809
50	3	0.5178967
50	4	0.5195148
50	5	0.4341786
50	6	0.4341628
50	7	0.4505529
50	8	0.4592424
50	9	0.4740305
50	10	0.4317534
50	11	0.4317377
50	12	0.5026361
50	13	0.513317
50	14	0.513317
50	15	0.5176096
50	16	0.5176096
50	17	0.5273372
50	18	0.5162394
50	19	0.5162394
50	20	0.5152033
50	21	0.5152033
50	22	0.512624
50	23	0.512624
50	24	0.4595031
50	25	0.4595142
50	26	0.5462297
50	27	0.5270776
50	28	0.5270776
50	29	0.5198828
50	30	0.5198828
50	31	0.5309824
50	32	0.5309824
50	33	0.5558068
50	34	0.5422619
50	35	0.5422619
50	36	0.5566184
50	37	0.5093172
50	38	0.4713399
50	39	0.4713241
50	40	0.6512584
50	41	0.5065949
50	42	0.4442065
50	43	0.4442065
50	44	0.4547734
50	45	0.4547734
50	46	0.490077
50	47	0.4901263
50	48	0.4831122
50	49	0.4831122
51	0	0.500454
51	1	0.5182243
51	2	0.5179671
51	3	0.5179565
51	4	0.4461851
51	5	0.4461851
51	6	0.4646087
51	7	0.5277141
51	8	0.4757459
51	9	0.4757617
51	10	0.4875719
51	11	0.4674751
51	12	0.4674582
51	13	0.5259797
51	14	0.6159073
51	15	0.6159073
51	16	0.6071877
51	17	0.540062
51	18	0.5251092
51	19	0.5251092
51	20	0.5539754
51	21	0.5091427
51	22	0.4819281
51	23	0.4819281
51	24	0.492381
51	25	0.4736537
51	26	0.4736537
51	27	0.4989642
51	28	0.5215067
51	29	0.4913986
51	30	0.4913986
51	31	0.5511219
51	32	0.5307199
51	33	0.4748072
51	34	0.4748072
51	35	0.4738498
51	36	0.4738498
51	37	0.5432028
51	38	0.5443026
51	39	0.5570341
51	40	0.5570341
51	41	0.5091057
51	42	0.5091057
51	43	0.5091057
51	44	0.4504299
51	45	0.440579
51	46	0.4364637
51	47	0.4364637
51	48	0.4387977
51	49	0.433565
51	50	0.4302967
52	0	0.4302967
52	1	0.4482576
52	2	0.4482576
52	3	0.477185
52	4	0.4885341
52	5	0.4885184
52	6	0.4938766
52	7	0.4959099
52	8	0.4959099
52	9	0.455153
52	10	0.455153
52	11	0.4780691
52	12	0.4928942
52	13	0.4928942
52	14	0.4657655
52	15	0.4632108
52	16	0.4632265
52	17	0.4540172
52	18	0.4454069
52	19	0.4454162
52	20	0.4515555
52	21	0.462877
52	22	0.4669219
52	23	0.4587778
52	24	0.458762
52	25	0.4474031
52	26	0.4439556
52	27	0.4395972
52	28	0.4310337
52	29	0.4310337
52	30	0.4620576
52	31	0.4620576
52	32	0.4676145
52	33	0.46345
52	34	0.4577548
52	35	0.4577391
52	36	0.4663885
52	37	0.4891879
52	38	0.4744951
52	39	0.4744951
52	40	0.4821172
52	41	0.511936
52	42	0.511936
52	43	0.4889749
52	44	0.4889591
52	45	0.5425221
52	46	0.5405892
52	47	0.5405892
52	48	0.4397168
52	49	0.4397006
52	50	0.4583194
52	51	0.566386
53	0	0.5156548
53	1	0.5156548
53	2	0.5156548
53	3	0.5156548
53	4	0.5156548
53	5	0.5156548
53	6	0.5156548
53	7	0.5156548
53	8	0.5156548
53	9	0.5156548
53	10	0.5156548
53	11	0.5156548
53	12	0.5156548
53	13	0.4633421
53	14	0.4503689
53	15	0.4503689
53	16	0.4441663
53	17	0.4441663
53	18	0.431944
53	19	0.431944
53	20	0.4545117
53	21	0.4539979
53	22	0.4521547
53	23	0.4578317
53	24	0.4625143
53	25	0.460362
